SYSRECNO,RTVER_NO,START_PLACE_ID,END_PLACE_ID,PERIOD_START_TIME,PERIOD_END_TIME,ROUTE_ID,RVARIANT_ID,RUN_TIME,SYSTXID
26756606,3480,IrvCum,IrvHar,1071000,1071590,  80,EB,4800,10036503
26758732,3480,IrvCum,IrvHar,1089000,1089590,  80,EB,4500,10036503
26758733,3480,IrvCum,IrvHar,1107000,1107590,  80,EB,4200,10036503
26758734,3480,IrvCum,IrvHar,1125000,1125590,  80,EB,3900,10036503
26764719,3480,IrvAsh,SheLs,657000,657590,  80,EB,5100,10036503
26764720,3480,IrvAsh,SheLs,684000,694190,  80,EB,6900,10036503
26764785,3480,IrvAsh,SheLs,972000,1002590,  80,EB,5700,10036503
26764786,3480,IrvAsh,SheLs,1017000,1017590,  80,EB,6000,10036503
26764787,3480,IrvAsh,SheLs,1044000,1054190,  80,EB,6300,10036503
26764788,3480,IrvAsh,SheLs,1071000,1071590,  80,EB,5700,10036503
26764789,3480,IrvAsh,SheLs,1089000,1089590,  80,EB,5700,10036503
26764790,3480,IrvAsh,SheLs,1107000,1107590,  80,EB,5400,10036503
26764791,3480,IrvAsh,SheLs,1125000,1125590,  80,EB,5100,10036503
26764792,3480,IrvAsh,SheLs,1143000,1143590,  80,EB,5100,10036503
26764793,3480,IrvAsh,SheLs,1161000,1161590,  80,EB,4800,10036503
26768786,3480,IrvCen,IrvCic,711000,711590,  80,EB,4800,10036503
26774526,3480,IrvCen,IrvHar,639000,639590,  80,WB,5700,10036503
26774596,3480,IrvHar,IrvCum,1152000,1250390,  80,WB,3900,10036503
26776629,3480,IrvBlu,IrvCic,1053000,1053590,  80,WB,5100,10036503
26776630,3480,IrvBlu,IrvCic,1071000,1071590,  80,WB,4500,10036503
26776631,3480,IrvBlu,IrvCic,1089000,1089590,  80,WB,3900,10036503
26776632,3480,IrvBlu,IrvCic,1107000,1107590,  80,WB,3900,10036503
26776633,3480,IrvBlu,IrvCic,1125000,1125590,  80,WB,3000,10036503
26781789,3480,IrvAsh,IrvWes,1152000,1169990,  80,WB,3600,10036503
26781790,3480,IrvAsh,IrvWes,1170000,1187990,  80,WB,3900,10036503
26781791,3480,IrvAsh,IrvWes,1188000,1205990,  80,WB,3600,10036503
26766931,3480,IrvBlu,IrvKim,945000,945590,  80,EB,4200,10036503
26766932,3480,IrvAsh,SheLs,1179000,1179590,  80,EB,5100,10036503
26766933,3480,IrvAsh,SheLs,1206000,1277990,  80,EB,4800,10036503
26766934,3480,IrvAsh,SheLs,1278000,1403990,  80,EB,4500,10036503
26766935,3480,IrvBlu,IrvKim,972000,1002590,  80,EB,4500,10036503
26766936,3480,IrvBlu,IrvKim,1017000,1017590,  80,EB,4500,10036503
26766937,3480,IrvBlu,IrvKim,1044000,1054190,  80,EB,4500,10036503
26766938,3480,IrvBlu,IrvKim,1071000,1071590,  80,EB,4500,10036503
26766939,3480,IrvBlu,IrvKim,1089000,1089590,  80,EB,4500,10036503
26766940,3480,IrvBlu,IrvKim,1107000,1107590,  80,EB,4500,10036503
26766941,3480,IrvBlu,IrvKim,1125000,1125590,  80,EB,3900,10036503
26766942,3480,IrvBlu,IrvKim,1143000,1143590,  80,EB,3900,10036503
26766943,3480,IrvBlu,IrvKim,1161000,1161590,  80,EB,3900,10036503
26777875,3480,IrvCum,IrvHar,810000,862790,  80,EB,3900,10036503
26777876,3480,IrvCum,IrvHar,882000,934190,  80,EB,3900,10036503
26777877,3480,IrvCum,IrvHar,945000,945590,  80,EB,4200,10036503
26777878,3480,IrvCum,IrvHar,972000,1002590,  80,EB,4200,10036503
26785538,3480,IrvHar,IrvCum,540000,622790,  80,WB,3000,10036503
26785539,3480,IrvHar,IrvCum,639000,639590,  80,WB,3300,10036503
26785540,3480,IrvHar,IrvCum,666000,687590,  80,WB,4200,10036503
26785541,3480,IrvHar,IrvCum,711000,711590,  80,WB,3300,10036503
26785542,3480,IrvHar,IrvCum,738000,755990,  80,WB,3300,10036503
26785543,3480,IrvHar,IrvCum,756000,773990,  80,WB,3000,10036503
26785544,3480,IrvHar,IrvCum,774000,809990,  80,WB,3600,10036503
26785545,3480,IrvHar,IrvCum,810000,827990,  80,WB,3300,10036503
26785546,3480,IrvHar,IrvCum,828000,848990,  80,WB,3900,10036503
26785547,3480,IrvHar,IrvCum,873000,873590,  80,WB,3600,10036503
26785548,3480,IrvHar,IrvCum,891000,891590,  80,WB,3600,10036503
26785549,3480,IrvHar,IrvCum,909000,909590,  80,WB,3900,10036503
26785643,3480,IrvWes,IrvKim,1107000,1107590,  80,WB,4200,10036503
26785644,3480,IrvWes,IrvKim,1125000,1125590,  80,WB,4200,10036503
26777998,3480,IrvWes,IrvAsh,729000,729590,  80,EB,4200,10036503
26777999,3480,IrvWes,IrvAsh,747000,747590,  80,EB,4200,10036503
26782150,3480,IrvCen,IrvHar,666000,687590,  80,WB,6300,10036503
26782151,3480,IrvCen,IrvHar,711000,711590,  80,WB,6000,10036503
26782152,3480,IrvCen,IrvHar,756000,773990,  80,WB,5700,10036503
26782153,3480,IrvCen,IrvHar,774000,809990,  80,WB,6300,10036503
26782154,3480,IrvCen,IrvHar,810000,848990,  80,WB,6900,10036503
26782155,3480,IrvCen,IrvHar,873000,873590,  80,WB,6900,10036503
26782156,3480,IrvCen,IrvHar,891000,891590,  80,WB,7200,10036503
26753000,3480,IrvWes,IrvAsh,1071000,1071590,  80,EB,4200,10036503
26753001,3480,IrvWes,IrvAsh,1089000,1089590,  80,EB,3900,10036503
26754962,3480,IrvKim,IrvBlu,639000,639590,  80,WB,3600,10036503
26754963,3480,IrvHar,IrvCum,1260000,1403990,  80,WB,3900,10036503
26754964,3480,IrvKim,IrvBlu,540000,622790,  80,WB,3300,10036503
26754965,3480,IrvKim,IrvBlu,666000,687590,  80,WB,4500,10036503
26754997,3480,IrvCen,IrvHar,738000,755990,  80,WB,6000,10036503
26767238,3480,IrvKim,IrvWes,1161000,1161590,  80,EB,4200,10036503
