VSCVER_ID,TRIP_NO,TRIP_ID,START_PLACE,END_PLACE,START_TIME,END_TIME
156668,248542776,88354089,IrvBwy,IrvHar,1277100,1302300
156668,248542777,88354131,IrvBwy,FprHar,1204500,1232400
156668,248542778,     191,IrvBwy,IrvCum,1120800,1153500
156668,248542780,88354073,IrvBwy,IrvCum,1068900,1107900
156668,248542781,     149,IrvBwy,IrvCum,1021500,1061700
156668,248542783,     215,IrvBwy,IrvHar,1041300,1077600
156668,248542785,     198,IrvBwy,IrvCum,1109100,1143600
156668,248542787,88354088,IrvBwy,IrvHar,1264800,1290000
156668,248542788,88354081,IrvBwy,FprHar,1192500,1220400
156668,248542792,     200,IrvBwy,IrvCum,1097400,1132800
156668,248542794,88354067,IrvBwy,IrvCum,1008600,1048800
156668,248542799,88354066,IrvBwy,IrvCum,997500,1037700
156668,248542800,     103,IrvBwy,IrvCum,931200,967500
156668,248542803,88354096,IrvBwy,IrvCum,978300,1021800
156668,248542808,     212,IrvBwy,IrvHar,1028100,1064400
156668,248542809,88354079,IrvBwy,FprHar,1168500,1196700
156668,248542811,     206,IrvBwy,IrvCum,1078200,1116300
156668,248542812,88354101,IrvBwy,IrvCum,980700,1024200
156668,248542813,     101,IrvBwy,IrvCum,905100,940800
156668,248542814,88354092,IrvBwy,IrvCen,1314900,1334700
156668,248542819,88354086,IrvBwy,FprHar,1240500,1268400
156668,248542821,     102,IrvBwy,IrvCum,913800,949500
156668,248542822,     143,IrvBwy,IrvHar,992700,1029000
156668,248542832,     124,IrvBwy,IrvCum,972000,1012500
156668,248542833,     145,IrvBwy,IrvHar,1002600,1038900
156668,248542836,88354062,IrvBwy,IrvCum,774600,807300
156668,248542837,      95,IrvBwy,IrvCum,861300,896100
156668,248542839,     217,IrvBwy,IrvHar,1054500,1090500
156668,248542842,      78,IrvBwy,IrvCum,824700,858600
156668,248542846,      55,IrvBwy,IrvCum,743400,774000
156668,248542851,     123,IrvBwy,IrvCum,964500,1004100
156668,248542853,      98,IrvBwy,IrvCum,879000,914100
156668,248542854,88354087,IrvBwy,FprHar,1252500,1280400
156668,248542855,     121,IrvBwy,IrvCum,948600,986400
156668,248542856,88354071,IrvBwy,IrvCum,1047900,1087800
156668,248542857,      99,IrvBwy,IrvCum,896400,931500
156668,248542859,      76,IrvBwy,IrvCum,816300,850200
156668,248542861,88354105,IrvBwy,IrvCum,957000,995700
156668,248542863,     142,IrvBwy,IrvCum,987900,1028400
156668,248542864,      96,IrvBwy,IrvCum,870300,905100
156668,248542866,     194,IrvBwy,IrvCum,1144500,1176000
156668,248542867,88354072,IrvBwy,IrvCum,1061400,1100700
156668,248542872,88354093,IrvBwy,IrvCen,1327500,1347300
156668,248542873,88354074,IrvBwy,IrvCum,1087500,1123800
156668,248542876,88357437,IrvBwy,IrvCum,843000,876900
156668,248542881,88354061,IrvBwy,IrvCum,761700,792300
156668,248542883,88354085,IrvBwy,FprHar,1228500,1256400
156668,248542885,88357438,IrvBwy,IrvCum,887700,923100
156668,248542887,88354080,IrvBwy,FprHar,1180500,1208700
156668,248542888,88357436,IrvBwy,IrvCum,807900,840600
156668,248542893,88354091,IrvBwy,IrvHar,1302300,1327500
156668,248542896,      51,IrvBwy,IrvCum,782700,815400
156668,248542898,      73,IrvBwy,IrvCum,791100,823800
