SYSRECNO,RTVER_NO,START_PLACE_ID,END_PLACE_ID,PERIOD_START_TIME,PERIOD_END_TIME,ROUTE_ID,RVARIANT_ID,RUN_TIME,SYSTXID
27009088,3536,SheLs,IrvBwy,846000,881990,  80,EB,1800,10187765
27009089,3536,SheLs,IrvBwy,711000,711590,  80,EB,1500,10187765
27009090,3536,SheLs,IrvBwy,729000,729590,  80,EB,1200,10187765
27009091,3536,SheLs,IrvBwy,756000,827390,  80,EB,1500,10187765
27009092,3536,SheLs,IrvBwy,882000,987590,  80,EB,1500,10187765
27009093,3536,SheLs,IrvBwy,999000,999590,  80,EB,1800,10187765
27009094,3536,SheLs,IrvBwy,1017000,1017590,  80,EB,1500,10187765
27009095,3536,SheLs,IrvBwy,1044000,1115390,  80,EB,1500,10187765
27009096,3536,SheLs,IrvBwy,1125000,1125590,  80,EB,1500,10187765
27009097,3536,SheLs,IrvBwy,1152000,1187990,  80,EB,1500,10187765
27027838,3536,IrvCen,IrvCic,729000,729590,  80,EB,3900,10187765
27027839,3536,IrvCen,IrvCic,846000,881990,  80,EB,4500,10187765
27027840,3536,IrvCen,IrvCic,882000,987590,  80,EB,4200,10187765
27027841,3536,IrvCen,IrvCic,999000,999590,  80,EB,3900,10187765
27027842,3536,IrvCen,IrvCic,1017000,1017590,  80,EB,4200,10187765
27027843,3536,IrvCen,IrvCic,1044000,1079990,  80,EB,4200,10187765
27027844,3536,IrvCen,IrvCic,1080000,1115390,  80,EB,3600,10187765
27027845,3536,IrvCen,IrvCic,1125000,1125590,  80,EB,3600,10187765
27027846,3536,IrvCen,IrvCic,1152000,1187990,  80,EB,3600,10187765
27027847,3536,IrvCen,IrvCic,1222200,1258190,  80,EB,3300,10187765
27027848,3536,IrvCen,IrvCic,1258200,1403990,  80,EB,3000,10187765
27027849,3536,IrvCic,IrvBlu,540000,573590,  80,EB,2100,10187765
27027850,3536,IrvCic,IrvBlu,573600,673790,  80,EB,2400,10187765
27027851,3536,IrvCic,IrvBlu,693000,693590,  80,EB,3000,10187765
27027852,3536,IrvCic,IrvBlu,711000,711590,  80,EB,3000,10187765
27027853,3536,IrvCic,IrvBlu,729000,729590,  80,EB,3000,10187765
27027854,3536,IrvCic,IrvBlu,756000,791990,  80,EB,3000,10187765
27027855,3536,IrvCic,IrvBlu,792000,827390,  80,EB,3300,10187765
27027856,3536,IrvCic,IrvBlu,846000,987590,  80,EB,3300,10187765
27027857,3536,IrvCic,IrvBlu,999000,999590,  80,EB,3300,10187765
27027858,3536,IrvCic,IrvBlu,1017000,1017590,  80,EB,3300,10187765
27020847,3536,IrvAsh,IrvWes,864000,881990,  80,WB,4500,10187765
27020848,3536,IrvAsh,IrvWes,684000,719990,  80,WB,3000,10187765
27020849,3536,IrvAsh,IrvWes,720000,761390,  80,WB,3600,10187765
27020850,3536,IrvAsh,IrvWes,792000,828590,  80,WB,3900,10187765
27024252,3536,IrvWes,IrvAsh,540000,573590,  80,EB,2100,10187765
27024253,3536,IrvWes,IrvAsh,573600,629990,  80,EB,2400,10187765
