service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20230531, 20231126
A2, 0, 0, 0, 0, 0, 1, 0, 20230531, 20231126
A3, 0, 0, 0, 0, 0, 1, 1, 20230531, 20231126
A4, 0, 0, 0, 0, 0, 0, 1, 20230531, 20231126
B1, 1, 1, 1, 1, 1, 0, 0, 20231127, 20231203
B2, 0, 0, 0, 0, 0, 1, 0, 20231127, 20231203
B3, 0, 0, 0, 0, 0, 1, 1, 20231127, 20231203
B4, 0, 0, 0, 0, 0, 0, 1, 20231127, 20231203
C1, 1, 1, 1, 1, 1, 0, 0, 20231204, 20231210
C2, 0, 0, 0, 0, 0, 1, 0, 20231204, 20231210
C3, 0, 0, 0, 0, 0, 1, 1, 20231204, 20231210
C4, 0, 0, 0, 0, 0, 0, 1, 20231204, 20231210
A1A, 1, 1, 1, 1, 1, 0, 0, 20231211, 20241231
A2A, 0, 0, 0, 0, 0, 1, 0, 20231211, 20241231
A3A, 0, 0, 0, 0, 0, 1, 1, 20231211, 20241231
A4A, 0, 0, 0, 0, 0, 0, 1, 20231211, 20241231
