route_id, service_id, trip_id, trip_headsign, block_id, shape_id, direction_id
BNSF, A1, BNSF_BN1200_V4_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1201_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1202_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1203_V2_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1204_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1205_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1206_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1207_V2_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1208_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1210_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1211_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1212_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1213_V2_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1214_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1215_V2_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1216_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1217_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1218_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1220_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1221_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1222_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1223_V3_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1224_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1225_V3_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1226_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1227_V3_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1228_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1229_V3_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1230_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1231_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1232_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1233_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1234_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1235_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1236_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1239_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1241_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1242_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1243_V2_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1244_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1245_V2_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1246_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1247_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1249_V2_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1250_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1251_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1252_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1253_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1254_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1255_V2_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1256_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1257_V2_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1258_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1259_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1260_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1261_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1262_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1263_V2_A, Naperville, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1264_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1265_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1267_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1268_V3_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1269_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1271_V2_A, Naperville, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1272_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1273_V2_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1274_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1275_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1276_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1277_V2_A, Naperville, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1279_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1281_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1282_V2_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1283_V2_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1284_V2_A, Chicago Union Station, , BNSF_IB_1,  1
